project_id,profile_id,project_title,description,technologies,project_type,year_completed,created_at
2defe193-5c62-b3a2-3a3c-563e4bd6cee6,e14eb70d-b380-c73a-989d-9d4ae15ca666,Inventory Tracker CLI,Command-line tool for small-business stock tracking.,"{""C++"",""Git""}",academic,2025,2026-07-25 11:55:00
4ac9778d-8da8-eee4-0df5-6ac6f96b648a,e14eb70d-b380-c73a-989d-9d4ae15ca666,Library Management System,Desktop system for book loans and returns with a relational database.,"{""Java"",""SQL""}",academic,2025,2026-07-25 11:55:00
292bd156-db94-6570-1ac7-0ec0ab8ddeb4,b04d3376-77fc-9703-1fd5-a423706c5c56,Linux Server Monitoring Scripts,"Bash scripts to monitor CPU, memory and disk usage.","{""Linux""}",academic,2025,2026-09-04 03:25:00
c68a152f-db23-aa8c-3bca-bf85620a60ac,b495db4e-8245-6fb4-4ab7-706eb77350ca,Plant Disease Image Classifier,CNN model to detect leaf diseases from photos.,"{""Deep Learning"",""Python""}",academic,2026,2026-08-02 00:35:00
62d60e93-6198-5d54-cfb8-7e6fe9d68f23,b495db4e-8245-6fb4-4ab7-706eb77350ca,Club Management Web App,Web app for a student club to manage members and events.,"{""JavaScript"",""Flask"",""SQL"",""Teamwork""}",personal,2026,2026-08-02 00:35:00
9716108e-f721-69bb-8096-27182051acef,b495db4e-8245-6fb4-4ab7-706eb77350ca,House Price Prediction,Trained regression models to predict Klang Valley property prices.,"{""Python"",""Machine Learning"",""Statistical Analysis""}",personal,2024,2026-08-02 00:35:00
03edd1f8-74f9-3d17-e912-b4bf86a4bae4,b495db4e-8245-6fb4-4ab7-706eb77350ca,Personal Portfolio Website,Responsive portfolio site built with React.,"{""React"",""JavaScript""}",personal,2024,2026-08-02 00:35:00
03902c5d-6502-d6a2-ca6a-2224171e16cc,2303f6c6-d69d-42f1-ae4c-84ffa8c01f05,Serverless Image Resizer,Built an event-driven image pipeline on AWS Lambda and S3.,"{""AWS"",""Cloud Computing"",""Python""}",competition,2025,2026-08-26 10:08:00
431d029f-ac1e-86d8-bfbf-397bac3e7b0d,2303f6c6-d69d-42f1-ae4c-84ffa8c01f05,House Price Prediction,Trained regression models to predict Klang Valley property prices.,"{""Python"",""Machine Learning"",""Statistical Analysis""}",personal,2025,2026-08-26 10:08:00
72c22a16-79eb-4168-1045-56e5bee3eb79,a9ab364a-1777-e8cb-7468-5b98d2fe2fde,Campus Event Booking API,REST API for booking campus events with authentication.,"{""Python"",""FastAPI"",""SQL"",""Git""}",competition,2025,2026-07-07 20:23:00
8f9b72ae-d85c-16bd-6dda-4f8dcea60f4c,4140752c-aa44-8259-5001-8b7b6d4067f4,"Walter, Sales Dashboard",Built an interactive dashboard to track monthly sales KPIs.,"{""Power BI"",""Excel"",""Data Visualisation""}",competition,2024,2026-07-09 12:06:00
d4578ad9-a867-a096-edd8-77c89be71737,4140752c-aa44-8259-5001-8b7b6d4067f4,Weather Dashboard,Front-end app consuming a public weather API with charts.,"{""JavaScript"",""Data Visualisation""}",competition,2023,2026-07-09 12:06:00
ebe9e207-4f19-9ec0-c32d-4526b3e4110a,4140752c-aa44-8259-5001-8b7b6d4067f4,House Price Prediction,Trained regression models to predict Klang Valley property prices.,"{""Python"",""Machine Learning"",""Statistical Analysis""}",academic,2025,2026-07-09 12:06:00
7e7e7419-a0c1-4035-c5d9-5f51f387e1bd,b5a1b949-6788-4209-92ca-525a6de59332,Customer Churn Analysis,Cleaned and analysed telco customer data to identify churn drivers.,"{""Python"",""Data Analysis"",""Statistical Analysis""}",academic,2024,2026-08-11 14:51:00
9082889b-e1cd-e87f-ec95-5f87ae5ec365,b5a1b949-6788-4209-92ca-525a6de59332,Retail Inventory Report Automation,Automated weekly inventory reporting from a SQL database.,"{""SQL"",""Excel""}",competition,2026,2026-08-11 14:51:00
71348c2a-780b-3657-117b-355b70944bdb,b5a1b949-6788-4209-92ca-525a6de59332,Covid-19 Malaysia Data Explorer,Exploratory analysis of public MOH datasets with SQL and charts.,"{""SQL"",""Python"",""Data Visualisation""}",academic,2024,2026-08-11 14:51:00
3ccec76c-b836-c448-ad26-1ec55d42b9e9,b3ecb951-ab8c-bf97-20b7-1785d02ce0c1,Sentiment Analysis of Product Reviews,Classified Shopee product reviews using NLP techniques.,"{""Python"",""Natural Language Processing"",""Machine Learning""}",academic,2026,2026-08-25 02:21:00
4f3949a8-3d3a-2582-88b4-f4743be79df4,b3ecb951-ab8c-bf97-20b7-1785d02ce0c1,Weather Dashboard,Front-end app consuming a public weather API with charts.,"{""JavaScript"",""Data Visualisation""}",academic,2026,2026-08-25 02:21:00
3dba6da8-5844-f9fc-114b-9547c9dc72b8,c6b33fe6-1c76-bdf6-6c5a-6c93871c0884,CTF Team Participation,Solved web and forensics challenges in a university CTF.,"{""Linux"",""Problem Solving"",""Teamwork""}",academic,2026,2026-07-07 17:08:00
bff9507d-cd14-a03e-8359-9af65d01f55f,5e368127-cca1-b45c-1fdd-980a45f18619,Sentiment Analysis of Product Reviews,Classified Shopee product reviews using NLP techniques.,"{""Python"",""Natural Language Processing"",""Machine Learning""}",internship,2026,2026-08-19 20:34:00
3c6a3174-1136-34a5-2050-9c6208e895d7,5e368127-cca1-b45c-1fdd-980a45f18619,House Price Prediction,Trained regression models to predict Klang Valley property prices.,"{""Python"",""Machine Learning"",""Statistical Analysis""}",academic,2026,2026-08-19 20:34:00
0e2f8958-de43-1e06-e924-706980bbae52,5c8ac066-cb2f-afa3-2c91-3a7ca3404f08,Club Management Web App,Web app for a student club to manage members and events.,"{""JavaScript"",""Flask"",""SQL"",""Teamwork""}",academic,2025,2026-07-18 17:04:00
ef4afa88-5299-e505-2976-aab22a26f770,5c8ac066-cb2f-afa3-2c91-3a7ca3404f08,Personal Portfolio Website,Responsive portfolio site built with React.,"{""React"",""JavaScript""}",academic,2025,2026-07-18 17:04:00
5cce5ba9-31d4-ee09-8fd3-3afc91fdfa4f,f6729464-3f8e-a40a-6b0a-e0e39d896047,Covid-19 Malaysia Data Explorer,Exploratory analysis of public MOH datasets with SQL and charts.,"{""SQL"",""Python"",""Data Visualisation""}",internship,2023,2026-07-21 20:10:00
d3479a3b-479b-c637-8cc3-6f3bc3affcfe,f6729464-3f8e-a40a-6b0a-e0e39d896047,"Romero, Sales Dashboard",Built an interactive dashboard to track monthly sales KPIs.,"{""Power BI"",""Excel"",""Data Visualisation""}",personal,2026,2026-07-21 20:10:00
5f89ed12-64d6-dfbf-18c0-1e2bf99f0704,f6729464-3f8e-a40a-6b0a-e0e39d896047,Weather Dashboard,Front-end app consuming a public weather API with charts.,"{""JavaScript"",""Data Visualisation""}",academic,2024,2026-07-21 20:10:00
9a3b0319-32f5-7510-24ee-b4a6c14565c7,f6729464-3f8e-a40a-6b0a-e0e39d896047,Retail Inventory Report Automation,Automated weekly inventory reporting from a SQL database.,"{""SQL"",""Excel""}",competition,2025,2026-07-21 20:10:00
4588fc1b-b238-4849-8fe0-69b6eedaa802,9c2dfa97-43ad-3d62-b17c-fb21cdbc2c1c,Plant Disease Image Classifier,CNN model to detect leaf diseases from photos.,"{""Deep Learning"",""Python""}",competition,2026,2026-09-10 19:11:00
39c59df9-87f2-55d6-e7ba-26acab7a3d1c,9c2dfa97-43ad-3d62-b17c-fb21cdbc2c1c,E-commerce Store,"Full-stack store with cart, checkout and admin dashboard.","{""React"",""Node.js"",""SQL""}",academic,2025,2026-09-10 19:11:00
19bd4f93-78ef-7666-b7a4-c719548e1f6b,9c2dfa97-43ad-3d62-b17c-fb21cdbc2c1c,Personal Portfolio Website,Responsive portfolio site built with React.,"{""React"",""JavaScript""}",academic,2026,2026-09-10 19:11:00
27372b52-7a6a-2107-2231-9050f5159494,c1dd484a-aca5-8d95-915a-1c304b86b5a1,Plant Disease Image Classifier,CNN model to detect leaf diseases from photos.,"{""Deep Learning"",""Python""}",academic,2025,2026-08-25 02:35:00
705fddf5-66fa-dca0-0b53-1932bd9419aa,8a0f9508-dfe2-c0a0-a96b-3c42f6d22a7b,Secure Login Module,"Implemented hashing, rate limiting and MFA for a web login.","{""Python"",""Flask"",""SQL""}",academic,2025,2026-07-24 03:20:00
ea18d32c-7a9a-8ef5-c11b-d1c4ffe3f366,24f43c62-b523-c0de-db87-d29c4cfd0fc1,Customer Churn Analysis,Cleaned and analysed telco customer data to identify churn drivers.,"{""Python"",""Data Analysis"",""Statistical Analysis""}",academic,2026,2026-08-24 04:01:00
52555c75-8d55-119e-3d44-cb2cea45ba41,24f43c62-b523-c0de-db87-d29c4cfd0fc1,Retail Inventory Report Automation,Automated weekly inventory reporting from a SQL database.,"{""SQL"",""Excel""}",academic,2025,2026-08-24 04:01:00
cb80f288-446f-64dd-5abc-a6e5d0b1e3eb,f50d7a37-a44d-9fec-fd85-d7fa8ac97b01,Campus Event Booking API,REST API for booking campus events with authentication.,"{""Python"",""FastAPI"",""SQL"",""Git""}",competition,2026,2026-07-07 09:13:00
b27e1442-fd7f-e973-3e42-df5b90a3fbbf,f50d7a37-a44d-9fec-fd85-d7fa8ac97b01,Inventory Tracker CLI,Command-line tool for small-business stock tracking.,"{""C++"",""Git""}",personal,2026,2026-07-07 09:13:00
4ab6821c-0328-c136-629e-f3d8dd1ca267,735741e5-fe1a-1ba9-c896-9c5b45f8c28d,Azure-hosted Student Portal,Deployed a web portal to Azure App Service with a managed database.,"{""Azure"",""Cloud Computing"",""SQL""}",competition,2026,2026-08-18 23:44:00
af70de70-2b69-c95e-8567-1b58926bffa5,735741e5-fe1a-1ba9-c896-9c5b45f8c28d,Serverless Image Resizer,Built an event-driven image pipeline on AWS Lambda and S3.,"{""AWS"",""Cloud Computing"",""Python""}",competition,2025,2026-08-18 23:44:00
1ac3bf31-7b96-e2d1-0649-bcf6ff69723d,ca6caf9b-0969-7101-8b2c-550a6b15c11b,Azure-hosted Student Portal,Deployed a web portal to Azure App Service with a managed database.,"{""Azure"",""Cloud Computing"",""SQL""}",academic,2025,2026-09-08 05:16:00
38749f3c-c2d4-9b56-cbbe-d98007e67cb0,2edc017e-1df0-5d18-4e2d-62553d131a3d,Linux Server Monitoring Scripts,"Bash scripts to monitor CPU, memory and disk usage.","{""Linux""}",academic,2026,2026-08-19 23:16:00
751303b9-c7de-96ea-2b0f-be4449e64c22,2edc017e-1df0-5d18-4e2d-62553d131a3d,CI/CD Pipeline for Web App,"Automated build, test and deploy with GitHub Actions and Docker.","{""Docker"",""Git"",""Linux""}",academic,2026,2026-08-19 23:16:00
71efe72a-ae13-591e-84fa-4c7239e7a4f1,c9ce44bd-7c3f-1add-da38-5db590eeb067,Customer Churn Analysis,Cleaned and analysed telco customer data to identify churn drivers.,"{""Python"",""Data Analysis"",""Statistical Analysis""}",academic,2026,2026-07-14 06:22:00
81b13b80-65e1-b0f5-ca0e-e8c4f2dcb12b,d90f74e9-06dd-f6ca-b0c3-0a59f0f7ad22,Hopkins Sales Dashboard,Built an interactive dashboard to track monthly sales KPIs.,"{""Power BI"",""Excel"",""Data Visualisation""}",academic,2025,2026-09-17 02:23:00
1519fd38-66fb-a71d-b3a9-dcaa6c6f6d2e,d90f74e9-06dd-f6ca-b0c3-0a59f0f7ad22,Retail Inventory Report Automation,Automated weekly inventory reporting from a SQL database.,"{""SQL"",""Excel""}",competition,2026,2026-09-17 02:23:00
f6d70248-a995-ecc3-6f5b-09a60ff1c51f,01a1fb0f-268b-84b6-3ec0-a285cbc4ec0e,Home Network Vulnerability Scan,Scanned and hardened a home lab network; documented findings.,"{""Linux"",""Research Skills""}",internship,2026,2026-07-04 16:57:00
d259f960-6ee3-5607-92ea-1324ec93e596,67863fb3-f3bc-9a71-07f4-fee52c82989f,Herrera Sales Dashboard,Built an interactive dashboard to track monthly sales KPIs.,"{""Power BI"",""Excel"",""Data Visualisation""}",academic,2025,2026-09-11 03:46:00
5a9c0679-2c3d-17e2-6d39-da75aee70ab2,67863fb3-f3bc-9a71-07f4-fee52c82989f,Covid-19 Malaysia Data Explorer,Exploratory analysis of public MOH datasets with SQL and charts.,"{""SQL"",""Python"",""Data Visualisation""}",academic,2026,2026-09-11 03:46:00
08dec921-260c-b547-e228-0fe3722dce13,67863fb3-f3bc-9a71-07f4-fee52c82989f,Customer Churn Analysis,Cleaned and analysed telco customer data to identify churn drivers.,"{""Python"",""Data Analysis"",""Statistical Analysis""}",academic,2026,2026-09-11 03:46:00
7aa1c567-8cf9-eea9-e1fd-c6d169785221,67863fb3-f3bc-9a71-07f4-fee52c82989f,Retail Inventory Report Automation,Automated weekly inventory reporting from a SQL database.,"{""SQL"",""Excel""}",academic,2026,2026-09-11 03:46:00
f7164b73-c555-23ed-fe89-56c8d9cb3540,9d37efb6-eafb-3e90-54ec-84ce002ccb25,Inventory Tracker CLI,Command-line tool for small-business stock tracking.,"{""C++"",""Git""}",academic,2026,2026-07-23 20:02:00
7d3572cc-788f-d0cd-65c0-6b93c8edabdd,9d17d218-fc3b-0de5-9812-62ac5683ede0,Library Management System,Desktop system for book loans and returns with a relational database.,"{""Java"",""SQL""}",academic,2025,2026-07-04 23:43:00
61a66444-e2af-a629-5efb-336e2f546033,9d17d218-fc3b-0de5-9812-62ac5683ede0,Home Network Vulnerability Scan,Scanned and hardened a home lab network; documented findings.,"{""Linux"",""Research Skills""}",academic,2026,2026-07-04 23:43:00
39eb038a-436e-3c49-770e-09db7092d401,9d17d218-fc3b-0de5-9812-62ac5683ede0,Inventory Tracker CLI,Command-line tool for small-business stock tracking.,"{""C++"",""Git""}",academic,2025,2026-07-04 23:43:00
cee4e512-5802-b640-ab0b-4cc515f0ea19,9d17d218-fc3b-0de5-9812-62ac5683ede0,Campus Event Booking API,REST API for booking campus events with authentication.,"{""Python"",""FastAPI"",""SQL"",""Git""}",academic,2023,2026-07-04 23:43:00
5e4c4fd1-4623-63a9-32f8-dbabb462e3e8,d1403430-567e-642e-052d-fb9a5f584603,Sentiment Analysis of Product Reviews,Classified Shopee product reviews using NLP techniques.,"{""Python"",""Natural Language Processing"",""Machine Learning""}",academic,2026,2026-07-30 13:35:00
5f59fb4d-3def-a7ba-07d2-fd4dae61716a,d1403430-567e-642e-052d-fb9a5f584603,Student Performance Predictor,Predicted at-risk students from academic records.,"{""Machine Learning"",""Data Analysis"",""R""}",personal,2025,2026-07-30 13:35:00
87a37f10-61b5-12ed-ae42-3568de14553b,d0e656e5-9271-5f6e-fea8-2e3ab54401cb,Riley Sales Dashboard,Built an interactive dashboard to track monthly sales KPIs.,"{""Power BI"",""Excel"",""Data Visualisation""}",academic,2025,2026-08-31 07:55:00
9b0ada0b-9f6f-acc1-451d-38fe8532fc74,5bf7dda1-7d7c-59a5-e6c1-1650ff02f5b0,Adkins Sales Dashboard,Built an interactive dashboard to track monthly sales KPIs.,"{""Power BI"",""Excel"",""Data Visualisation""}",academic,2026,2026-07-30 16:39:00
485f7888-1e23-da4b-9e21-741fb8011026,5bf7dda1-7d7c-59a5-e6c1-1650ff02f5b0,Phishing Email Detector,Rule-based and ML approach to flag phishing emails.,"{""Python"",""Machine Learning""}",academic,2026,2026-07-30 16:39:00
282c6470-ef32-f72a-a4b5-c72302fb2869,0760801f-9c81-fc46-5bcd-236cc7774fae,CI/CD Pipeline for Web App,"Automated build, test and deploy with GitHub Actions and Docker.","{""Docker"",""Git"",""Linux""}",competition,2023,2026-07-18 01:29:00
52150ed8-7ddc-a413-c05d-b774132a5e58,0760801f-9c81-fc46-5bcd-236cc7774fae,Weather Dashboard,Front-end app consuming a public weather API with charts.,"{""JavaScript"",""Data Visualisation""}",personal,2024,2026-07-18 01:29:00
99bd6240-a853-5961-632d-03021a82833c,7e0f60b2-2a06-1609-e599-bd3c0bb81d38,Sentiment Analysis of Product Reviews,Classified Shopee product reviews using NLP techniques.,"{""Python"",""Natural Language Processing"",""Machine Learning""}",academic,2025,2026-08-03 05:51:00
33fd862d-4057-e470-be61-27a80351b09d,ceed0ffc-6c21-835d-d8e8-b97ce0a25901,Serverless Image Resizer,Built an event-driven image pipeline on AWS Lambda and S3.,"{""AWS"",""Cloud Computing"",""Python""}",academic,2026,2026-08-18 13:57:00
bd0b0fa2-8bee-f83f-96a0-6bf2c14ebd10,ceed0ffc-6c21-835d-d8e8-b97ce0a25901,Student Performance Predictor,Predicted at-risk students from academic records.,"{""Machine Learning"",""Data Analysis"",""R""}",academic,2026,2026-08-18 13:57:00
8ede9b46-407d-0aff-cb51-a9112d90e4ee,84517303-e94d-4fbe-0653-1d4748677b30,Inventory Tracker CLI,Command-line tool for small-business stock tracking.,"{""C++"",""Git""}",academic,2025,2026-09-01 10:29:00
20d2b528-5b6d-6b7c-54b2-a582f3981e9e,bab503fb-ddfc-d1d5-cb86-3deaf7222fbe,"Evans, Sales Dashboard",Built an interactive dashboard to track monthly sales KPIs.,"{""Power BI"",""Excel"",""Data Visualisation""}",academic,2026,2026-09-10 13:49:00
606cc2f5-2c81-6bf0-91f6-04068b5a8683,80499bbf-76f6-a778-2246-0ac94a7eebc2,Covid-19 Malaysia Data Explorer,Exploratory analysis of public MOH datasets with SQL and charts.,"{""SQL"",""Python"",""Data Visualisation""}",academic,2026,2026-09-03 09:21:00
84440504-13ed-280a-d5e1-4d1fe5f22dfb,80499bbf-76f6-a778-2246-0ac94a7eebc2,Customer Churn Analysis,Cleaned and analysed telco customer data to identify churn drivers.,"{""Python"",""Data Analysis"",""Statistical Analysis""}",competition,2026,2026-09-03 09:21:00
585409d9-de22-dc3f-d136-6db15a578607,80499bbf-76f6-a778-2246-0ac94a7eebc2,Anderson-Bailey Sales Dashboard,Built an interactive dashboard to track monthly sales KPIs.,"{""Power BI"",""Excel"",""Data Visualisation""}",competition,2025,2026-09-03 09:21:00
709d338b-2393-6d45-e1cc-ff0d8078636d,80499bbf-76f6-a778-2246-0ac94a7eebc2,Retail Inventory Report Automation,Automated weekly inventory reporting from a SQL database.,"{""SQL"",""Excel""}",competition,2024,2026-09-03 09:21:00
8e0eabb7-8f20-c5e7-5ec6-46eb2dc09158,6198b718-c4c7-aab4-ca20-508d7b6c7129,Serverless Image Resizer,Built an event-driven image pipeline on AWS Lambda and S3.,"{""AWS"",""Cloud Computing"",""Python""}",personal,2026,2026-08-24 13:34:00
8f026c2c-1b41-4999-8198-d1f56839f98f,ee462fcd-a829-907c-d9be-ccff33a315f3,Home Network Vulnerability Scan,Scanned and hardened a home lab network; documented findings.,"{""Linux"",""Research Skills""}",academic,2024,2026-09-05 02:36:00
a18c5492-74e0-079a-98fb-47279740b212,efd1b588-1054-b2d5-1876-35761a5ed196,Linux Server Monitoring Scripts,"Bash scripts to monitor CPU, memory and disk usage.","{""Linux""}",competition,2026,2026-09-09 10:50:00
8a27b0b0-7b4d-8646-58e0-058fe8af301f,efd1b588-1054-b2d5-1876-35761a5ed196,Club Management Web App,Web app for a student club to manage members and events.,"{""JavaScript"",""Flask"",""SQL"",""Teamwork""}",personal,2026,2026-09-09 10:50:00
180dc855-c55f-fde8-bc3e-1d1975f94230,ba23b07a-703c-1286-b717-14cd200291bb,Linux Server Monitoring Scripts,"Bash scripts to monitor CPU, memory and disk usage.","{""Linux""}",academic,2025,2026-07-03 01:50:00
efabcd73-4fe6-6636-f612-1d2cae7300eb,ba23b07a-703c-1286-b717-14cd200291bb,Serverless Image Resizer,Built an event-driven image pipeline on AWS Lambda and S3.,"{""AWS"",""Cloud Computing"",""Python""}",personal,2026,2026-07-03 01:50:00
4c7f03bb-a376-0c2d-7b31-dcdc40d91a8e,ba23b07a-703c-1286-b717-14cd200291bb,CI/CD Pipeline for Web App,"Automated build, test and deploy with GitHub Actions and Docker.","{""Docker"",""Git"",""Linux""}",competition,2025,2026-07-03 01:50:00
531350e0-6f25-37ce-a206-527c3c6841d6,ba23b07a-703c-1286-b717-14cd200291bb,Azure-hosted Student Portal,Deployed a web portal to Azure App Service with a managed database.,"{""Azure"",""Cloud Computing"",""SQL""}",academic,2025,2026-07-03 01:50:00
881af04f-3b23-feed-b9a4-de2b19e9e3a4,df9d3910-2dbb-45bd-2138-e2e6f013a170,Walsh Sales Dashboard,Built an interactive dashboard to track monthly sales KPIs.,"{""Power BI"",""Excel"",""Data Visualisation""}",competition,2026,2026-07-25 12:22:00
25e42403-64f2-502e-c94f-6ed34a2f3876,b3edd6ed-b089-4de4-e626-7164d3616b3a,Club Management Web App,Web app for a student club to manage members and events.,"{""JavaScript"",""Flask"",""SQL"",""Teamwork""}",academic,2026,2026-07-06 04:40:00
4e0fbae1-8787-c3f4-ec19-e4eb3f551740,9f7fae0c-7ba7-9d05-8c7e-29044237692a,Food Delivery Backend,"Microservice backend for order handling, containerised with Docker.","{""Node.js"",""Docker"",""SQL""}",academic,2024,2026-09-14 07:38:00
5afa0fb3-5a16-f9d9-af2f-077358c69158,9f7fae0c-7ba7-9d05-8c7e-29044237692a,Campus Event Booking API,REST API for booking campus events with authentication.,"{""Python"",""FastAPI"",""SQL"",""Git""}",academic,2024,2026-09-14 07:38:00
41f74651-a033-edad-0fdf-de19cfd835fc,9f7fae0c-7ba7-9d05-8c7e-29044237692a,Library Management System,Desktop system for book loans and returns with a relational database.,"{""Java"",""SQL""}",competition,2025,2026-09-14 07:38:00
f06b6c12-9c8b-9550-64e7-0f9a501a0ccf,3b1d0181-9cc3-c1f5-9129-bc759b08e5a8,Library Management System,Desktop system for book loans and returns with a relational database.,"{""Java"",""SQL""}",personal,2026,2026-07-12 08:29:00
c9739495-b440-b852-e033-500ea43262b3,3b1d0181-9cc3-c1f5-9129-bc759b08e5a8,Food Delivery Backend,"Microservice backend for order handling, containerised with Docker.","{""Node.js"",""Docker"",""SQL""}",competition,2026,2026-07-12 08:29:00
e0b62f90-0adb-c4ff-e0b5-5615d3b6ef1b,3b1d0181-9cc3-c1f5-9129-bc759b08e5a8,Campus Event Booking API,REST API for booking campus events with authentication.,"{""Python"",""FastAPI"",""SQL"",""Git""}",personal,2025,2026-07-12 08:29:00
8ec57d47-0a0c-64e5-bc34-1b4ffbdc532e,3b1d0181-9cc3-c1f5-9129-bc759b08e5a8,Personal Portfolio Website,Responsive portfolio site built with React.,"{""React"",""JavaScript""}",competition,2025,2026-07-12 08:29:00
0ee52f63-9caf-8df1-3584-5d71b221e1c5,da948e70-2537-41e4-0966-8d0859595d27,Secure Login Module,"Implemented hashing, rate limiting and MFA for a web login.","{""Python"",""Flask"",""SQL""}",personal,2024,2026-08-08 20:18:00
9ad2bb72-b04b-a584-b95c-ec2d7bd15655,da948e70-2537-41e4-0966-8d0859595d27,CTF Team Participation,Solved web and forensics challenges in a university CTF.,"{""Linux"",""Problem Solving"",""Teamwork""}",competition,2023,2026-08-08 20:18:00
feb9ea24-933c-8d00-8680-0a0b42791490,da948e70-2537-41e4-0966-8d0859595d27,Campus Event Booking API,REST API for booking campus events with authentication.,"{""Python"",""FastAPI"",""SQL"",""Git""}",personal,2025,2026-08-08 20:18:00
7f6bf62c-a1c1-6b96-baab-d9f2850b7073,da948e70-2537-41e4-0966-8d0859595d27,Home Network Vulnerability Scan,Scanned and hardened a home lab network; documented findings.,"{""Linux"",""Research Skills""}",competition,2026,2026-08-08 20:18:00
46d28109-495c-7ac8-314a-abdd33579b27,17b4e75b-e9d1-8ec2-33bc-b8a9c71d4564,Inventory Tracker CLI,Command-line tool for small-business stock tracking.,"{""C++"",""Git""}",academic,2026,2026-09-03 14:15:00
10e94dce-6241-cba3-7b7c-e7ccf950f7fa,c438eae0-b5d0-b595-a4f8-9e23af39f2ce,CI/CD Pipeline for Web App,"Automated build, test and deploy with GitHub Actions and Docker.","{""Docker"",""Git"",""Linux""}",academic,2025,2026-07-20 06:03:00
df6b9b3f-ff59-4778-49d9-3a08277e0fbc,4cbb7460-510c-8c48-e09e-f2a3ae77e249,Weather Dashboard,Front-end app consuming a public weather API with charts.,"{""JavaScript"",""Data Visualisation""}",academic,2025,2026-08-14 12:02:00
cf13cb3d-4ab0-5699-fd88-8cbda8049463,fbcbd6ec-86c2-ad8f-bb36-07b0baed6f49,Retail Inventory Report Automation,Automated weekly inventory reporting from a SQL database.,"{""SQL"",""Excel""}",competition,2024,2026-08-06 00:52:00
